name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Preetham Harinath,11520466,Sweden,1994-08-03,Right-hand bat,Right-arm medium,2618793
Abigail Glen,11518294,England,2001-04-02,Right-hand bat,Right-arm medium,4901712
Pravesh Pal,11521241,India,2003-03-27,Right-hand bat,Right-arm offbreak,4945763
Vijayakumar S,11521542,India,1995-05-27,Right-hand bat,Legbreak,404909
Shwaz Zafar,11522251,Pakistan,1991-05-19,Right-hand bat,Right-arm fast,7103608
Mizba Alam,11531842,India,1995-01-01,Right-hand bat,Right-arm bowler,4585898
Abhishek Jain,11205035,India,2000-10-22,Right-hand bat,,185025
Melrick Serrao,11518967,Kuwait,2007-06-06,Right-hand bat,Legbreak,8637312
Nilantha Herath,11519579,Kuwait,1983-08-29,Right-hand bat,Right-arm fast,4181915
Sachin Kumar,11520467,India,1990-03-25,Right-hand bat,Right-arm medium,4284194
Arya Yohan Menon,11521543,India,2002-09-23,Right-hand bat,Left-arm medium,3847803
Susantha Karunarathna,11522252,Sri Lanka,1992-06-12,Right-hand bat,Right-arm slow,9888252
Rahul Sawant,11521242,India,1990-08-11,Left-hand bat,Right-arm offbreak,3335479
Natasha Mtomba,11518296,Zimbabwe,2004-11-17,Right-hand bat,,4264637
Sourabh Singh,11521243,India,2002-11-21,Left-hand bat,Left-arm medium-fast,208430
Shaikh Ayub,11518968,Kuwait,1964-09-17,Right-hand bat,Right-arm fast-medium,81555191
Shamal Thunbudal,11519580,Kuwait,1992-12-22,Right-hand bat,Right-arm fast-medium,860233
Sreenivasa Sureshkumar,11520468,India,2001-07-12,Right-hand bat,Right-arm medium,4372774
J Rejin,11521544,India,1996-10-26,Right-hand bat,Right-arm fast,6205219
Talha Shahzad,11522253,Pakistan,1995-01-18,Right-hand bat,Right-arm slow,9924479
Shaurav Sakhakarmi,11518297,Nepal,2001-10-05,Right-hand bat,,9941889
Shifas Karim,11518969,Kuwait,1992-11-23,Right-hand bat,Right-arm fast-medium,80319023
Kafait Hussain,11519581,Kuwait,1994-02-10,Right-hand bat,Right-arm medium,1802633
Sujit Bhuyan,11520469,India,1976-02-10,Right-hand bat,Right-arm offbreak,3068878
Amogh Bhatkal,11521244,India,1994-04-28,Right-hand bat,Right-arm offbreak,3547743
Vineet Shekhar,11522254,Finland,1992-10-10,Right-hand bat,Right-arm fast,3758279
Naveen Jacob,11507823,Kuwait,1988-05-01,Right-hand bat,Right-arm slow,129374652
George Bhatti,11518298,India,1991-09-04,Right-hand bat,Right-arm medium,6787946
Sunil Raja Henry,11518970,Kuwait,1985-04-08,Right-hand bat,Right-arm fast,38034952
Suresh Chander,11520470,India,1998-07-27,Right-hand bat,Right-arm medium,9454910
Rudra Shah,11521032,India,1996-07-07,Right-hand bat,Right-arm offbreak,7192861
Amol Tarpure,11521245,India,1994-06-01,Right-hand bat,Right-arm fast,8251359
Waleed Iftikhar,11522255,Finland,1990-07-01,Right-hand bat,Right-arm medium,663895
Vinay Kunwar,11521547,India,2002-04-22,Left-hand bat,Left-arm medium,472590
Rajdeep Darbar,4507071,India,1987-09-14,Right-hand bat,,447452
Vasanth Kumar,11520471,India,1997-07-07,Left-hand bat,Right-arm slow,8845564
Waqas Raja,3400025,Finland,1984-10-25,Right-hand bat,Right-arm fast,1194059
Aashita Gupta,11521033,Belgium,1992-12-31,Right-hand bat,Right-arm medium,5526992
Habier Ali,11519582,Kuwait,2005-11-26,Right-hand bat,Slow left-arm orthodox,9137852
Asad Bandri,11518971,Kuwait,1990-11-04,Left-hand bat,Right-arm offbreak,50649679
Soaeb Tai,4507615,India,1989-12-25,Right-hand bat,Right-arm offbreak,446857
Lewis Blake,11521548,England,2006-11-27,Right-hand bat,,9731896
Gavin David Mendes,11518972,Kuwait,2011-02-11,Right-hand bat,Right-arm medium,78036796
Nazeeb Nazeer,11519583,Kuwait,1997-09-17,Right-hand bat,Left-arm slow,3316841
Venkat Girisan,11520472,India,2000-06-03,Right-hand bat,Right-arm medium,5883249
Amina Diwan Ali,11521034,Belgium,2003-05-16,Right-hand bat,Right-arm medium,1350697
Zaki Kamal,11522256,Finland,1983-12-10,Right-hand bat,Right-arm slow,7378482
Ismail Hanif Banwa,11518973,Kuwait,1986-07-11,Right-hand bat,Right-arm offbreak,42859478
Vishal Malaviya,11520473,India,1991-12-20,Right-hand bat,Right-arm medium,8403321
Arussa Ilahi,11521035,Belgium,1993-02-25,Left-hand bat,Right-arm offbreak,2807904
Dylan Sinfield,11521549,England,2008-05-02,Right-hand bat,Right-arm medium,2499567
Areeb Quadir,3400019,Finland,1998-08-01,Right-hand bat,Right-arm slow,1194054
Suresh Raju,11519584,Kuwait,1995-05-07,Right-hand bat,,9752668
Manikanta Rama Mutyal,11519585,Kuwait,1995-05-07,Left-hand bat,Left-arm fast,8577897
Vivek Sharma,4512249,India,1993-08-31,Right-hand bat,Right-arm slow,1268835
Mahammad Ajizbhai Kadri,11518974,Kuwait,2003-11-11,Right-hand bat,Right-arm fast,71271648
Mayuresh Tandel,11521249,India,1993-07-22,Right-hand bat,Right-arm offbreak,3833101
Mohsin Shah,11531203,United Arab Emirates,1986-03-15,Right-hand bat,,6231187
Asad Ijaz,11522257,Finland,1996-07-29,Left-hand bat,,8600325
Attia Diwan Ali,11521036,Belgium,1989-11-22,Right-hand bat,Right-arm medium,4942303
Siddhanth Singh,11521551,India,2003-11-12,Right-hand bat,Right-arm offbreak,9558600
Saadh Bin Sajjad,11519586,Kuwait,1997-01-29,Left-hand bat,Slow left-arm orthodox,9362332
Muskan Sultana,11520474,India,2010-02-02,Right-hand bat,Legbreak,6413005
Azam Dar,11522258,Pakistan,1993-11-10,Right-hand bat,Slow left-arm orthodox,229628
Rosemary Lister,11521037,Belgium,1980-09-03,Right-hand bat,,990530
Mohamed Shihab,11518975,Kuwait,1986-03-19,Right-hand bat,Right-arm offbreak,90697603
Eugene Duff,11519587,Bahamas,1988-09-18,Right-hand bat,Right-arm medium,576086
Abdul Aziz Karim,11518976,Kuwait,1993-05-27,Right-hand bat,Right-arm medium,46736020
Namita Sarkar,11520475,India,2008-10-11,Right-hand bat,Legbreak,6161508
Nishit Balla,11521251,India,2006-01-24,Left-hand bat,Slow left-arm orthodox,4666644
B Anirudh Sita Ram,11521552,India,1994-09-02,Left-hand bat,Right-arm offbreak,3309452
Ezatullah Noori,11522259,Afghanistan,2005-06-15,Right-hand bat,Right-arm offbreak,1600840
Shabana Illahi,11521038,Belgium,1982-08-09,Right-hand bat,Right-arm medium,377755
S Shyam Sundar,4504996,India,2000-10-26,Left-hand bat,Left-arm medium-fast,1048817
Hanees Babu Pallackan,11518977,Kuwait,1967-10-31,Right-hand bat,Right-arm offbreak,40881108
Kellis Andrews,11520476,West Indies,2005-08-17,Left-hand bat,,9388074
Gerard Brady,11522260,Finland,1977-10-19,Right-hand bat,Right-arm fast,2425648
Shamma Diwan Ali,11521039,Belgium,1995-09-19,Right-hand bat,,1881255
Sai Chavan,11521252,India,2008-02-08,Right-hand bat,Right-arm fast,720581
Thinagaran Kathavarayan,11518978,Kuwait,1989-12-24,Right-hand bat,Right-arm offbreak,62250394
Shirin Dias,11521040,Belgium,1990-04-05,Right-hand bat,Right-arm fast,3025298
Manoj Thavayogarajah,11522261,Finland,1994-10-02,Right-hand bat,Right-arm medium,1784825
Renaldo Lezama,11518306,West Indies,1997-08-02,Right-hand bat,Right-arm medium,8285293
Elizabeth Annor,11531854,Ghana,1994-06-05,Right-hand bat,Right-arm medium,7774779
Praful Hinge,4509631,India,2002-01-18,Right-hand bat,Right-arm medium-fast,1216167
Vinu Nair,11518979,Kuwait,1986-04-15,Right-hand bat,Right-arm offbreak,40527795
Romaine Smith,11519590,Bahamas,1997-03-17,Right-hand bat,Left-arm fast,5986872
Michael Henry,11520478,West Indies,1998-09-18,Right-hand bat,Right-arm medium,6476915
Mehar Arumilli,11522262,Finland,1988-04-10,Right-hand bat,Right-arm medium,6116705
Shraddha Bhandari,11521041,Belgium,1988-11-14,Right-hand bat,Right-arm offbreak,2502831
Shaquille Thomas,11508846,West Indies,1997-01-14,Right-hand bat,Right-arm medium,6321623
Ellen Asante,11531855,Ghana,1995-01-13,Right-hand bat,Right-arm medium,1015774
Yash Dicholkar,11521255,India,1996-07-15,Right-hand bat,Slow left-arm orthodox,9865206
John Pollard,11518307,West Indies,1962-03-13,Right-hand bat,Right-arm medium,6140948
Basavant Dalavi,11518980,Kuwait,1993-02-06,Right-hand bat,Right-arm offbreak,65425769
Nyron Belfon,11520479,West Indies,1993-04-03,Left-hand bat,Left-arm fast,4004850
Smriti Kaneria,11521042,Belgium,1992-11-30,Right-hand bat,Right-arm medium,5769272
Aniket Porwal,11521555,India,1998-06-21,Right-hand bat,Right-arm offbreak,3615259
Muhammad Rehan,11522263,Pakistan,2010-02-02,Right-hand bat,Right-arm offbreak,438055
Kate Awuah,11531856,Ghana,2002-09-21,Right-hand bat,Right-arm medium,7960554
Ihtisham Ul Haq,11519591,United Arab Emirates,1997-03-04,Right-hand bat,Right-arm medium,204426
Moazam Hayat,11519592,United Arab Emirates,1992-08-15,Right-hand bat,Right-arm medium,911168
George,11518308,India,1991-09-04,Right-hand bat,Right-arm medium,3089166
Shequan Olive,11520480,West Indies,2005-11-22,Right-hand bat,Right-arm offbreak,2302148
Miriam Eshun,11531857,Ghana,2005-05-24,Right-hand bat,Right-arm medium,7222150
Bharat Patil,11521256,India,1988-06-17,Right-hand bat,Right-arm offbreak,7031067
Ponniah Vijendran,11522264,Finland,1977-12-22,Right-hand bat,Right-arm slow,7503911
Sruthi Yenamandra,11521043,Belgium,1992-03-16,Right-hand bat,Right-arm medium,9037246
Christopher Augustine,11518981,Kuwait,1975-01-06,Right-hand bat,Right-arm fast,27483836
Jay Jain,11521257,India,2003-01-31,Right-hand bat,Right-arm offbreak,8852969
Kevon Samuel,11508858,United Arab Emirates,1988-03-08,Right-hand bat,Right-arm offbreak,6325149
Hentry Kennady,11518982,Kuwait,1973-04-16,Right-hand bat,Right-arm offbreak,96869252
Wavel Benjamin,11520481,West Indies,1994-03-27,Right-hand bat,,1494927
Qaiser Siddique,11522265,Finland,1984-06-07,Right-hand bat,Right-arm offbreak,5378102
Tripti Gore,11521044,Belgium,1985-02-12,Right-hand bat,Right-arm medium,2658742
Rashidatu Salia,11531858,Ghana,1995-06-02,Right-hand bat,Right-arm medium,2009484
Hafeez Afridi,10603426,United Arab Emirates,2008-05-15,Right-hand bat,Right-arm medium,21000140
Mohammad Amir,4506658,India,1986-01-27,,Left-arm fast-medium,26489
Mohammad Wasim,7503605,Pakistan,1974-03-03,Right-hand bat,Right-arm fast-medium,42006
Mohammad Wasim,101277,Afghanistan,1993-06-23,Right-hand bat,Right-arm fast-medium,1015499
Mohammad Ali,7502128,Pakistan,1975-05-05,Right-hand bat,Right-arm fast-medium,406132
Mohammad Ali,7502130,Pakistan,1981-10-13,Right-hand bat,Right-arm fast-medium,543595
Mohammad Ali,3006153,England,1973-11-08,Right-hand bat,Right-arm fast-medium,41392
Mohammad Ali,7503495,Pakistan,1978-02-11,Left-hand bat,Right-arm fast-medium,361790
Neelesh Rai,11518309,India,1997-08-15,Right-hand bat,Right-arm medium-fast,5787126
Muhammad Usman,11518983,Kuwait,1986-06-13,Left-hand bat,Left-arm slow,98283212
Veera Redkar,11521045,Belgium,1987-09-22,Right-hand bat,Right-arm medium,8637045
Jigar Rana,11521258,India,1999-10-21,Right-hand bat,,5684106
Saqib Arshad,11522266,Pakistan,1995-11-22,Right-hand bat,Right-arm medium,7707569
Ivy Yeboah,11531859,Ghana,1995-05-25,Right-hand bat,,4574902
Mohammad Ali,7503494,Pakistan,1970-11-08,Right-hand bat,Right-arm fast-medium,338960
Mohammad Ali,7504924,Pakistan,1978-02-11,Right-hand bat,Right-arm fast-medium,316399
Mohammad Ali,7504922,Pakistan,1972-10-12,Right-hand bat,Right-arm fast-medium,41390
Mohammad Ali,7503493,Pakistan,1985-11-05,Left-hand bat,Right-arm fast-medium,686661
Devnath Menon,11532603,United Arab Emirates,2000-05-09,Right-hand bat,Right-arm offbreak,1377679751
Prabin Biswakarma,11518310,India,1993-05-01,Right-hand bat,Right-arm medium,8481958
Muhammed Shaizad,11518984,Kuwait,1990-02-02,Right-hand bat,Right-arm fast-medium,21557120
Nithin Saldhana,11507808,Kuwait,1989-05-01,Right-hand bat,,129374636
Ananya Srinivasan,11521046,Switzerland,2008-09-10,Right-hand bat,,5071655
Parth Naik,11521259,India,2004-06-20,Right-hand bat,Right-arm fast,9690382
Ankit Gupta,11521559,Norway,1988-09-27,Right-hand bat,Right-arm medium,8206078
Jacqueline Kokam,11531860,Ghana,1999-10-05,Right-hand bat,Legbreak,5302819
Suman Shrestha,11522267,Nepal,1992-07-22,Right-hand bat,Right-arm offbreak,6983896
Prasan Tamang,11518311,India,2002-04-18,,,3789647
Sam Mathew,11518985,Kuwait,1985-01-23,Left-hand bat,Left-arm fast,78728508
Rejith Reji,11507806,Kuwait,1994-09-10,Right-hand bat,,129374634
Danashi Medagoda,11521047,Switzerland,1995-06-15,Right-hand bat,Right-arm medium,9372850
Shikhar Thakur,11521260,India,1987-05-06,Right-hand bat,,5633527
Suraj lyer,11522268,India,1998-06-09,Right-hand bat,Legbreak,7782860
Grace Essoun,11531861,Ghana,2005-05-25,Right-hand bat,Right-arm medium,8666265
Ritwik Behera,10700476,United States of America,2003-11-10,Right-hand bat,Right-arm offbreak,1294030
Navaneeth Krishna,11520482,India,1989-05-24,Left-hand bat,,8548853
Semeer Thajudeen,11518986,Kuwait,1989-01-01,Right-hand bat,Right-arm slow,51712824
Ranveer Saha,11518312,India,1994-04-21,Right-hand bat,Right-arm medium,7417094
Franziska Kuenburg,11521048,Switzerland,1992-07-15,Right-hand bat,Right-arm medium,1457318
Shivam Nirupam,11521261,India,2001-02-08,Right-hand bat,Right-arm fast,6145685
Troy Faithfull,11522269,Australia,1985-07-06,Right-hand bat,Right-arm offbreak,609143
Prasenjit Sarkar,11519597,India,1997-08-20,,,143747
Eshwar M,11521561,India,1999-01-19,Right-hand bat,,4048866
Ernestina Sagoe,11531862,Ghana,2006-02-20,Left-hand bat,Slow left-arm orthodox,8457133
Himalaya,11521562,India,2000-02-16,Left-hand bat,,8010761
Kritesh Chhetri,11518313,India,1999-05-27,Right-hand bat,Right-arm offbreak,3866620
Anshy Rath,11518987,Hong Kong,1997-11-05,Left-hand bat,Slow left-arm orthodox,64654626
Arabinra Chutia,11519598,India,1993-03-01,Right-hand bat,Right-arm medium,297286
Ihsan Shirzad,11520483,Afghanistan,1997-10-20,Right-hand bat,,2408497
Jacqui Edmiston,11521049,Switzerland,1974-06-27,Right-hand bat,Right-arm medium,9139872
Waheedullah Noori,11522270,Afghanistan,2007-03-15,Right-hand bat,Right-arm fast,4052457
Grace Quaicoe,11531863,Ghana,2005-06-19,Right-hand bat,Right-arm offbreak,6865212
Nishant Chhetri,11518314,India,2003-12-04,Right-hand bat,Right-arm medium-fast,1833316
Adarsh Kumar Maurya,11519599,India,2007-09-11,Right-hand bat,,493619
Othneil Lewis,11200347,West Indies,1997-11-29,Right-hand bat,Right-arm offbreak,906779
Laila Pickard,11521050,Switzerland,2006-08-09,Right-hand bat,Right-arm slow,4863469
J Gowri Sankar,11521563,India,2000-07-30,Left-hand bat,Slow left-arm orthodox,7107274
Esther Bakiweyem,11531864,Ghana,2001-08-19,Right-hand bat,Right-arm medium,5092133
Chad Potgieter,11521264,Portugal,1999-03-19,Right-hand bat,Right-arm offbreak,6973444
Saieswar Subba,11518315,India,2001-05-06,Right-hand bat,Right-arm medium-fast,6198298
Pahi Das,11520484,India,2009-12-21,,,273693
Meghna Rajan,11521051,Switzerland,2008-11-29,Right-hand bat,Right-arm slow,6715512
S Ajith Ram,11521564,India,1998-09-05,Left-hand bat,Slow left-arm orthodox,1667991
Abigail Amuzu,11531865,Ghana,2004-05-10,Right-hand bat,,9670866
Matt Hollard,11522273,Ireland,1999-04-14,Right-hand bat,Right-arm medium-fast,3349079
Kunal Mallay,11518316,India,1998-01-06,Right-hand bat,,7757580
Husnain Ayub Mohamed Ayub,11520485,Kuwait,1989-08-03,Right-hand bat,Right-arm offbreak,4798621
Metty Fernandes,11521052,Switzerland,1980-04-28,Right-hand bat,Right-arm medium,9648028
Elsa Barnfather,3000620,England,2003-07-23,Right-hand bat,Right-arm medium-fast,1184085
Karthick Manikandan,11500287,India,2005-01-22,Right-hand bat,Legbreak,1320762
Joycelyn Ahama,11531866,Ghana,2009-11-01,Right-hand bat,,7575335
Adam Sylvester,11521266,England,2000-05-18,Right-hand bat,Right-arm medium,2631731
Mohammad Rizwan,11518317,India,1996-03-09,Right-hand bat,,7547930
Zeena Bilal,11519601,England,2006-10-12,Right-hand bat,Right-arm medium-fast,673753
Millie Holmes,11521053,Switzerland,2009-02-13,Right-hand bat,Right-arm medium,2756300
Dylan Lues,11522274,Ireland,2001-03-15,Right-hand bat,Right-arm offbreak,7839546
Muhammad Azmat Ali,11520486,Kuwait,1982-03-01,Right-hand bat,Right-arm medium-fast,9736798
Rebecca Adotei,11531867,Ghana,2010-10-07,Right-hand bat,Right-arm medium,3320835
Muskan Subba,11518318,India,1998-05-15,Right-hand bat,Right-arm offbreak,5423297
Nasir Iqbal,11520487,Kuwait,1978-01-01,Right-hand bat,,5842276
Naina Metty Saju,11521054,Switzerland,2008-10-25,Right-hand bat,Right-arm medium,1689075
Marie Eliane Atsagou,11521267,Cameroon,2000-01-03,Right-hand bat,Right-arm medium,5877089
Sophie Singer,11519602,England,2006-05-22,Right-hand bat,Legbreak,922820
Homan Chettri,11522275,India,1997-05-03,Right-hand bat,,9553163
Ganesh S,11521566,India,2000-05-07,Right-hand bat,,7408233
Osama Ali,11518319,India,2004-12-26,Right-hand bat,Right-arm fast,6605834
Coco Streets,11519603,England,2002-02-17,Right-hand bat,Right-arm medium,600910
Riyaz Masurkar,11507841,Kuwait,1961-01-01,Right-hand bat,Right-arm fast,129374670
Natalie St Cyr Clarke,11521055,Switzerland,1999-07-08,Right-hand bat,,9475765
Muhibat K Amusa,11521268,Nigeria,2006-10-24,Right-hand bat,Right-arm medium,9426778
Karthik Meiyappan,10602985,United Arab Emirates,2000-10-08,Right-hand bat,Legbreak,1058987
Kshiteez Luitel,11522276,India,2002-10-05,Right-hand bat,,2378646
Ajay Kumar,11520488,India,1994-10-10,Right-hand bat,,2583162
Sarfaraz Ali,11518320,India,2001-04-11,Right-hand bat,Right-arm medium-fast,1907995
Isabella James,11519604,England,2005-02-04,Right-hand bat,Legbreak,714796
Ramya Punekar Krishnamurthy,11521056,Switzerland,1984-10-09,Right-hand bat,,7892057
Cathrine Chitombo,11521269,Zimbabwe,2001-05-06,Right-hand bat,Legbreak,5432589
Nekash Rai,11522277,India,2008-01-01,Right-hand bat,Right-arm medium,4032921
Sanjeev Kumar V,11521567,India,2003-10-17,Left-hand bat,Slow left-arm orthodox,7757890
Ujwal Bishwakarma,11518321,India,2001-01-01,Right-hand bat,Right-arm offbreak,9880813
Hardeep Singh,11520489,India,1992-06-21,Right-hand bat,Right-arm fast,2709593
Samiha Dabholkar,11521057,Switzerland,1992-09-17,Right-hand bat,Right-arm medium,869433
Nokutenda Makaniwa,11521270,Zimbabwe,2008-04-20,Right-hand bat,Right-arm offbreak,5226808
Rajalingam S,11521568,India,2002-12-11,Right-hand bat,Right-arm medium-fast,4045608
Amit Rajera,11522278,India,1999-12-01,Right-hand bat,,1149837
Ringzin Lama,11531871,Nepal,2006-03-20,Right-hand bat,,7191106
Salem Museka,11521271,Zimbabwe,2009-02-02,Right-hand bat,Right-arm offbreak,9580598
Rahul Sharma,11518322,India,1991-11-21,Right-hand bat,Right-arm fast,8240651
Saranya Kotha,11521058,Switzerland,1986-02-12,Right-hand bat,,3123415
Dhiraj Chettri,11522279,India,2000-12-11,Left-hand bat,,407590
Sachin Lekhak,11531872,Nepal,1999-09-20,Right-hand bat,Right-arm offbreak,6088667
Mandeep Husan,11520490,Kuwait,1994-09-30,Right-hand bat,Right-arm medium-fast,2692460
Surya Anand S,11521569,India,2002-04-21,Left-hand bat,Right-arm medium,2478803
Dichen Lepcha,11518323,India,2001-09-30,Right-hand bat,Right-arm medium-fast,2309373
Sejal Vinod,11521059,Switzerland,1988-02-03,Right-hand bat,Right-arm slow,9236666
Getrude Mushi,10100009,Tanzania,1999-12-24,Right-hand bat,,1119582
Georgia Irving,11519607,England,2005-05-21,Right-hand bat,Left-arm fast-medium,705783
Aakaash Sharma,11521570,India,2000-01-09,Right-hand bat,Right-arm medium,8029764
Osum Chettri,11522280,India,2011-11-13,Left-hand bat,Left-arm medium,4185590
Mohamed Jameel,11520491,Kuwait,1995-01-23,Right-hand bat,Right-arm medium-fast,205816
Bhaskar Yadram,11200535,West Indies,1999-09-18,Right-hand bat,Right-arm medium,1078699
Olivia Kibler,11519608,England,2001-11-30,Right-hand bat,,314426
Nigel Tamang,11518324,India,1991-07-27,Right-hand bat,Right-arm medium-fast,1963690
Riyaz Manaf,11520492,Kuwait,1981-05-30,Right-hand bat,,239943
Anisha Dissanayake,11521060,England,2003-04-26,Right-hand bat,Legbreak,1380078
Karan More,11521571,India,1987-04-05,,,692705
Siddharth Prasad,11522281,India,2005-08-21,Right-hand bat,Right-arm offbreak,9619406
Jenifer Kimaro,11521272,Tanzania,2007-04-30,Right-hand bat,,3675012
Ashish Magar,11531874,Nepal,2007-10-27,Right-hand bat,Right-arm medium-fast,9931025
Anuj Raj,4510767,India,2000-11-01,Right-hand bat,Left-arm medium-fast,1246472
Sailesh Shankar,11518325,India,1992-10-28,Right-hand bat,Right-arm medium,3833048
Varinder Sharma,11520493,Kuwait,1987-04-30,Right-hand bat,Right-arm medium,6318921
Jenny Blofeld,11521061,England,2004-08-01,Right-hand bat,Right-arm offbreak,1402389
Sonali Patel,3004311,England,2003-05-23,Right-hand bat,Right-arm medium,1182740
Mwapwani Mohamedi,10100149,Tanzania,1999-09-14,Right-hand bat,Right-arm offbreak,384996
